01-01-2017,2:15:00,,,40.9000376,-73.8901867,,,0,0,0,0,0,0,0,0,Unspecified,,,3590576,PASSENGER VEHICLE,,
01-01-2017,2:20:00,,,40.710977,-73.9796117,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,3591079,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:30:00,BROOKLYN,11221,40.6970777,-73.931841,BUSHWICK AVENUE,WILLOUGHBY AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,3590642,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:30:00,BRONX,10451,40.8211748,-73.9257344,EAST 153 STREET,GRAND CONCOURSE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,3591365,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01-01-2017,2:35:00,,,40.7217,-73.835976,,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,3589968,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01-01-2017,2:35:00,,,40.7696456,-73.9142442,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,3590751,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01-01-2017,2:36:00,BRONX,10457,40.8468635,-73.9014132,WEBSTER AVENUE,EAST 176 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,3591479,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:38:00,QUEENS,11414,40.6641936,-73.8411164,CROSS BAY BOULEVARD,156 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,3590025,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
01-01-2017,2:45:00,BROOKLYN,11201,40.6899325,-73.9814728,DE KALB AVENUE,FLATBUSH AVENUE EXTENSION,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,3589969,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
01-01-2017,2:45:00,BROOKLYN,11206,40.6939053,-73.9489157,WILLOUGHBY AVENUE,MARCY AVENUE,4,0,0,0,0,0,4,0,Unspecified,,,3591953,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:45:00,QUEENS,11105,40.7796337,-73.9108358,27 STREET,21 AVENUE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,3590749,SPORT UTILITY / STATION WAGON,,
01-01-2017,2:50:00,BROOKLYN,11217,40.6866467,-73.9798115,3 AVENUE,SCHERMERHORN STREET,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,3589977,PASSENGER VEHICLE,PASSENGER VEHICLE,
01-01-2017,2:50:00,QUEENS,11428,40.7184964,-73.73531,SPRINGFIELD BOULEVARD,JAMAICA AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,3590181,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
01-01-2017,2:50:00,,,40.8553528,-73.9183463,,,0,0,0,0,0,0,0,0,Unspecified,,,3590026,PASSENGER VEHICLE,,
01-01-2017,2:56:00,QUEENS,11103,40.7603421,-73.9123596,,,0,0,0,0,0,0,0,0,Unspecified,,,3590008,SPORT UTILITY / STATION WAGON,,
